Quote,Author
Talk is cheap. Show me the code.,Linus Torvalds - Creator of Linux
"Programs must be written for people to read, and only incidentally for machines to execute.",Harold Abelson - Computer Scientist
"First, solve the problem. Then, write the code.",John Johnson - Software Engineer
The best error message is the one that never shows up.,Thomas Fuchs - Developer
"Code is like humor. When you have to explain it, it’s bad.",Cory House - Software Architect
Software is a great combination between artistry and engineering.,Bill Gates - Co-founder of Microsoft
The most disastrous thing that you can ever learn is your first programming language.,Alan Kay - Computer Scientist
Any fool can write code that a computer can understand. Good programmers write code that humans can understand.,Martin Fowler - Software Developer
Experience is the name everyone gives to their mistakes.,Oscar Wilde - Playwright
Simplicity is the soul of efficiency.,Austin Freeman - Author
Programs are meant to be read by humans and only incidentally for computers to execute.,Donald Knuth - Computer Scientist
"Sometimes it pays to stay in bed on Monday, rather than spending the rest of the week debugging Monday’s code.",Dan Salomon - Developer
It’s not a bug – it’s an undocumented feature.,Anonymous
Computers are fast; programmers keep it slow.,Anonymous
Deleted code is debugged code.,Jeff Sickel - Software Engineer
The function of good software is to make the complex appear simple.,Grady Booch - Software Engineer
A good programmer is someone who always looks both ways before crossing a one-way street.,Doug Linder - Developer
"If debugging is the process of removing bugs, then programming must be the process of putting them in.",Edsger Dijkstra - Computer Scientist
Walking on water and developing software from a specification are easy if both are frozen.,Edward V Berard - Consultant
The best way to get a project done faster is to start sooner.,Jim Highsmith - Agile Consultant
There are only two kinds of programming languages: those people always bitch about and those nobody uses.,Bjarne Stroustrup - Creator of C++
"You can’t have great software without a great team, and most software teams behave like dysfunctional families.",Jim McCarthy - Author
The only way to learn a new programming language is by writing programs in it.,Dennis Ritchie - Creator of C
One man’s crappy software is another man’s full-time job.,Jessica Gaston - Developer
Before software can be reusable it first has to be usable.,Ralph Johnson - Computer Scientist
Measuring programming progress by lines of code is like measuring aircraft building progress by weight.,Bill Gates - Co-founder of Microsoft
"To iterate is human, to recurse divine.",L. Peter Deutsch - Software Engineer
The most important property of a program is whether it accomplishes the intention of its user.,C.A.R. Hoare - Computer Scientist
Programming isn’t about what you know; it’s about what you can figure out.,Chris Pine - Author
"The sooner you start to code, the longer the program will take.",Roy Carlson - Computer Scientist
"If you automate a mess, you get an automated mess.",Rod Michael - IT Consultant
"Computers are good at following instructions, but not at reading your mind.",Donald Knuth - Computer Scientist
Simplicity is prerequisite for reliability.,Edsger Dijkstra - Computer Scientist
Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live.,John Woods - Developer
There’s nothing quite like knocking out code and having it work the first time.,Anonymous
Any sufficiently advanced bug is indistinguishable from a feature.,Rich Kulawiec - Programmer
"The best thing about a boolean is even if you are wrong, you are only off by a bit.",Anonymous
Weeks of coding can save you hours of planning.,Anonymous
Never underestimate the bandwidth of a station wagon full of tapes hurtling down the highway.,Andrew S. Tanenbaum - Computer Scientist
You should name a variable using the same care with which you name a first-born child.,Robert C. Martin - Software Engineer
Programming is like writing a book... except if you miss out a single comma on page 126 the whole thing makes no sense.,Anonymous
"In theory, there is no difference between theory and practice. But, in practice, there is.",Jan L. A. van de Snepscheut - Computer Scientist
"Software testing is a sport like hunting, it’s bug-hunting.",Amit Kalantri - Author
Real programmers count from 0.,Anonymous
"Any application that can be written in JavaScript, will eventually be written in JavaScript.",Jeff Atwood - Co-founder of Stack Overflow
Sometimes the elegant implementation is just a function. Not a method. Not a class. Not a framework. Just a function.,John Carmack - Game Programmer
"The web is like a dominatrix. Everywhere I turn, I see little buttons ordering me to submit.",Nytwind - Web Developer
There is always one more bug to fix.,Ellen Ullman - Author & Programmer
Good code is its own best documentation.,Steve McConnell - Software Engineer
Innovation distinguishes between a leader and a follower.,Steve Jobs - Co-founder of Apple Inc.
The computer was born to solve problems that did not exist before.,Bill Gates - Co-founder of Microsoft
"It’s OK to figure out murder mysteries, but you shouldn’t need to figure out code. You should be able to read it.",Steve McConnell - Software Engineer & Author
"In software, the most beautiful code, the most beautiful functions, and the most beautiful programs are sometimes not there at all.",Jon Bentley - Computer Scientist
The most damaging phrase in the language is: It’s always been done that way.,"Grace Hopper - Computer Scientist & Rear Admiral, US Navy"
Controlling complexity is the essence of computer programming.,Brian Kernighan - Co-creator of AWK and UNIX author
"As soon as we started programming, we found to our surprise that it wasn't as easy to get programs right as we had thought.",Maurice Wilkes - Pioneer of Computing
Software is eating the world.,"Marc Andreessen - Co-author of Mosaic, Co-founder of Netscape"
Your most unhappy customers are your greatest source of learning.,Bill Gates - Co-founder of Microsoft
"If you think technology can solve your security problems, then you don’t understand the problems and you don’t understand the technology.",Bruce Schneier - Cybersecurity Expert
We have to stop optimizing for programmers and start optimizing for users.,Jeff Atwood - Co-founder of Stack Overflow
We are stuck with technology when what we really want is just stuff that works.,Douglas Adams - Author of The Hitchhiker's Guide to the Galaxy
The best minds of my generation are thinking about how to make people click ads.,Jeff Hammerbacher - Early Facebook Engineer
You can't make anything idiot-proof because idiots are so ingenious.,Ron Burns - Tech Humorist
"DevOps is not a goal, but a never-ending process of continual improvement.",Jez Humble - DevOps Thought Leader
"Infrastructure as Code isn’t about tools, it’s about discipline and repeatability.",Kief Morris - Author of 'Infrastructure as Code'
"A solid CI/CD pipeline is like a good joke: if you have to explain it, it’s not good.",Anonymous
"The goal of testing is not to find bugs, but to build confidence in your software.",James Bach - Software Testing Expert
"There is no magic in DevOps, only automation, transparency, and collaboration.",Nicole Forsgren - Co-author of Accelerate
Automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates - Co-founder of Microsoft
The only constant in the technology industry is change.,Marc Benioff - CEO of Salesforce
"Move fast and break things. Unless you are breaking stuff, you are not moving fast enough.",Mark Zuckerberg - Co-founder of Facebook
"In DevOps, if it hurts, do it more often.",Jez Humble - DevOps Expert
Fail fast. Learn fast. Improve fast.,Eric Ries - Author of The Lean Startup
"Without requirements or design, programming is the art of adding bugs to an empty text file.",Louis Srygley - Programmer
"Operations keeps the lights on, DevOps takes the system to the next level.",Kelsey Hightower - Google Cloud Engineer
A deployment a day keeps the outages away.,Charity Majors - CTO of Honeycomb
"Infrastructure as code is not just code. It’s documentation, reproducibility, and trust.",Kief Morris - Author
Don’t fear failure. Fear being in the exact same place next year as you are today.,Michael Hyatt - Leadership Expert
Quality is never an accident; it is always the result of intelligent effort.,John Ruskin - Art Critic and Philosopher
"Think twice, code once.",Waseem Latif - Developer
An ounce of automation is worth a pound of abstraction.,Anonymous
Every great developer you know got there by solving problems they were unqualified to solve until they actually did it.,Patrick McKenzie - Developer Advocate
Done is better than perfect.,Sheryl Sandberg - Former COO of Facebook
"If you’re not embarrassed by the first version of your product, you’ve launched too late.",Reid Hoffman - Co-founder of LinkedIn
"Good software, like wine, takes time.",Joel Spolsky - Co-founder of Stack Overflow
"You build it, you run it.",Werner Vogels - CTO of Amazon
"Start small, fail fast, learn rapidly.",Eric Ries - Entrepreneur
Agile is not a destination. It’s a mindset and a journey.,Mike Cohn - Agile Coach
A smooth deployment is a myth. There’s always a ‘gotcha’.,Anonymous
Trust is built through transparency and automation.,Nicole Forsgren - Researcher & Author
Complex systems are built from simple ones that work.,Leslie Lamport - Turing Award Winner
"If you can’t measure it, you can’t improve it.",Peter Drucker - Management Consultant
"Automation is good, so long as you know exactly where to put the machine.",Eliyahu Goldratt - Physicist & Author
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton - U.S. General (applied in DevOps contexts)
Fewer moving parts equals fewer things breaking.,Charity Majors - Observability Engineer
Don't ship broken code hoping no one will notice.,Anonymous
A broken build is a broken promise.,Anonymous
Resilience is more important than uptime.,Charity Majors - CTO of Honeycomb
"Ship small, ship often.",Jez Humble - DevOps Expert
